Tên API,Mô tả chức năng,Input,Output,Quy trình xử lý
"http://localhost:8001/api/auth (action=login)","📁 Backend APIs - Xác thực người dùng
Chức năng: Xử lý đăng nhập, đăng ký và đăng xuất
Hỗ trợ:
- login: Kiểm tra tài khoản/mật khẩu, tạo session
- register: Tạo tài khoản mới với mã hóa mật khẩu
- logout: Hủy session","//Input
POST: {
  ""identifier"": ""username or email"",
  ""password"": ""password""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""message"",
  ""token"": ""JWT token"",
  ""user"": {
    ""id"": ""user_id"",
    ""username"": ""username"",
    ""email"": ""email"",
    ""role"": ""1/2/3""
  }
}","Bước 1: User điền form đăng nhập với identifier (username/email) và password
Bước 2: API Gateway nhận request, forward đến Auth Service endpoint /api/auth
Bước 3: Auth Service xử lý: Tìm user trong DB (MySQL/MongoDB), verify password bằng password_verify(), tạo session
Bước 4: Response trả về Frontend với token và thông tin user"
"http://localhost:8001/api/auth (action=register)","📁 Backend APIs - Đăng ký tài khoản
Chức năng: Tạo tài khoản mới
Xử lý:
- Validate dữ liệu đầu vào
- Kiểm tra email/username trùng
- Hash password bằng password_hash()
- Tạo user mới trong DB","//Input
POST: {
  ""name"": ""Full Name"",
  ""email"": ""email@example.com"",
  ""password"": ""password"",
  ""phone"": ""0987654321"",
  ""address"": ""address""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Đăng ký thành công"",
  ""token"": ""JWT token"",
  ""user"": {
    ""id"": ""auto_generated_id"",
    ""name"": ""Full Name"",
    ""email"": ""email""
  }
}","Bước 1: User điền form đăng ký
Bước 2: API Gateway forward request đến Auth Service
Bước 3: Auth Service validate dữ liệu, kiểm tra email/username trùng, hash password bằng password_hash(), tạo user mới trong DB
Bước 4: Response trả về với thông tin user mới"
"http://localhost:8001/api/check-session","📁 Backend APIs - Kiểm tra phiên đăng nhập
Chức năng: Kiểm tra xem người dùng có đang đăng nhập không
Trả về: Thông tin user nếu có session","//Input
GET","//Output
JSON: {
  ""loggedIn"": true/false,
  ""user"": {
    ""id"": ""user_id"",
    ""username"": ""username"",
    ""email"": ""email"",
    ""role"": ""role""
  } or null
}","Bước 1: Client gửi GET request kèm session cookie
Bước 2: Backend kiểm tra $_SESSION['user']
Bước 3: Trả về thông tin user nếu có session, ngược lại trả về loggedIn: false"
"http://localhost:8001/api/logout","📁 Backend APIs - Đăng xuất
Chức năng: Hủy session và đăng xuất người dùng","//Input
POST/GET","//Output
JSON: {
  ""success"": true,
  ""message"": ""Đăng xuất thành công""
}","Bước 1: User click nút đăng xuất
Bước 2: Frontend gửi request đến /api/logout
Bước 3: Backend gọi session_destroy() để hủy session
Bước 4: Response xác nhận đăng xuất thành công"
    "http://localhost:8000/api/sach","📚 Quản lý Sách - CRUD sách
    Chức năng: Gọi controller SachController để quản lý danh sách sách
    Xử lý: Đọc từ QLTV.SACH.json hoặc MySQL","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID"": ""S001"",
      ""ten_sach"": ""Book Name"",
      ""tac_gia"": ""Author"",
      ""nam_xuat_ban"": 2024,
      ""so_luong"": 10,
      ""trang_thai"": ""Có sẵn"",
      ""image"": ""/images/book.jpg""
    }
  ]
}","Bước 1: Frontend request danh sách sách
Bước 2: SachController đọc từ QLTV.SACH.json hoặc MySQL
Bước 3: Trả về array chứa thông tin tất cả sách"
"http://localhost:8000/api/add-book","📚 Quản lý Sách - Thêm sách mới
Chức năng: Thêm sách với upload ảnh
Xử lý:
- Upload ảnh vào /frontend/images/
- Tạo ID tự động
- Lưu vào QLTV.SACH.json","//Input
POST FormData: {
  ""ID"": ""S001"",
  ""ten_sach"": ""Book Name"",
  ""tac_gia"": ""Author"",
  ""nam_xuat_ban"": 2024,
  ""ngon_ngu"": ""Vietnamese"",
  ""danh_muc"": ""Category"",
  ""gia_sach"": ""50000"",
  ""so_luong"": 10,
  ""book_image"": File
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Thêm sách thành công"",
  ""book"": {
    ""ID"": ""S001"",
    ""ten_sach"": ""Book Name"",
    ""image"": ""/images/book-name.jpg""
  }
}","Bước 1: Admin điền form thêm sách mới, chọn ảnh
Bước 2: Frontend gửi FormData với multipart/form-data
Bước 3: Backend xử lý upload ảnh vào /frontend/images/, sanitize tên file
Bước 4: Lưu thông tin sách vào QLTV.SACH.json với ID tự động
Bước 5: Response xác nhận thành công"
"http://localhost:8000/api/update-book","📚 Quản lý Sách - Cập nhật thông tin sách
Chức năng: Sửa thông tin sách (tên, tác giả, số lượng, giá...)
Cập nhật: Trạng thái 'Có sẵn'/'Hết sách' dựa trên số lượng","//Input
POST JSON: {
  ""ID"": ""S001"",
  ""ten_sach"": ""New Name"",
  ""tac_gia"": ""Author"",
  ""so_luong"": 15
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Cập nhật thành công""
}","Bước 1: Admin sửa thông tin sách
Bước 2: Frontend gửi JSON với các field cần update
Bước 3: Backend tìm sách theo ID trong QLTV.SACH.json
Bước 4: Update các field, tự động cập nhật trang_thai dựa vào so_luong
Bước 5: Lưu lại file JSON và response"
"http://localhost:8000/api/search","📚 Quản lý Sách - Tìm kiếm sách
Chức năng: Tìm kiếm sách theo từ khóa (có hỗ trợ tiếng Việt không dấu)
Tìm theo: Tên sách, tác giả, thể loại, ngôn ngữ","//Input
GET: ?q=keyword","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID"": ""S001"",
      ""ten_sach"": ""Matched Book"",
      ""tac_gia"": ""Author"",
      ""relevance"": 95
    }
  ],
  ""total"": 5
}","Bước 1: User nhập từ khóa tìm kiếm
Bước 2: Frontend gửi GET request với query parameter q
Bước 3: Backend chuẩn hóa chuỗi (bỏ dấu tiếng Việt), tìm kiếm trong ten_sach, tac_gia, danh_muc
Bước 4: Trả về danh sách sách khớp với từ khóa"
"http://localhost:8000/api/nguoidung","👥 Quản lý Người dùng - Danh sách người dùng
Chức năng: Lấy danh sách người dùng
Filter: Có thể lọc theo loại người dùng (loai parameter)","//Input
GET: ?loai=1/2/3","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID"": ""U001"",
      ""ten"": ""User Name"",
      ""email"": ""email"",
      ""loai"": ""1"",
      ""dia_chi"": ""address"",
      ""so_dien_thoai"": ""phone""
    }
  ]
}","Bước 1: Admin request danh sách người dùng
Bước 2: Backend đọc từ QLTV.NGUOIDUNG.json
Bước 3: Filter theo loai nếu có (1=Admin, 2=Thủ thư, 3=User)
Bước 4: Trả về array người dùng"
"http://localhost:8000/api/update-profile","👥 Quản lý Người dùng - Cập nhật hồ sơ
Chức năng: Cập nhật địa chỉ và số điện thoại
Tự động: Thêm cột so_dien_thoai nếu chưa tồn tại","//Input
POST JSON: {
  ""id"": ""U001"",
  ""address"": ""New Address"",
  ""phone"": ""0987654321""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Cập nhật thành công""
}","Bước 1: User cập nhật địa chỉ/SĐT trong profile
Bước 2: Frontend gửi POST với thông tin mới
Bước 3: Backend kiểm tra cột so_dien_thoai, tự động ALTER TABLE nếu chưa có
Bước 4: UPDATE NGUOIDUNG SET dia_chi, so_dien_thoai WHERE ID
Bước 5: Response xác nhận"
"http://localhost:8000/api/change-password","👥 Quản lý Người dùng - Đổi mật khẩu
Chức năng: Thay đổi mật khẩu người dùng
Bảo mật: Kiểm tra mật khẩu cũ, mã hóa mật khẩu mới
Hỗ trợ: Cả MySQL và MongoDB","//Input
POST JSON: {
  ""old_password"": ""current_pass"",
  ""new_password"": ""new_pass"",
  ""confirm_password"": ""new_pass""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Đổi mật khẩu thành công""
}","Bước 1: User điền form đổi mật khẩu
Bước 2: Frontend validate và gửi request
Bước 3: Backend lấy user_id từ session, verify old_password
Bước 4: Validate new_password (min 6 ký tự, khớp confirm)
Bước 5: Hash mật khẩu mới, UPDATE trong DB
Bước 6: Response kết quả"
"http://localhost:8000/api/borrow","📖 Quản lý Mượn/Trả - Mượn sách
Chức năng: Tạo phiếu mượn sách mới
Kiểm tra: Số lượng sách còn trong kho
Cập nhật: Giảm số lượng sách, tạo record trong MUON_TRA","//Input
POST JSON: {
  ""id_sach"": ""S001"",
  ""id_nguoi_dung"": ""U001""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Mượn sách thành công"",
  ""muon_tra_id"": ""MT001""
}","Bước 1: User chọn sách muốn mượn
Bước 2: Frontend gửi id_sach và user_id từ session
Bước 3: Backend kiểm tra so_luong > 0 trong QLTV.SACH.json
Bước 4: Tạo record mới trong QLTV.MUON_TRA.json với ID tự động, ngày mượn = hôm nay, trang_thai = Đang mượn
Bước 5: Giảm so_luong sách xuống 1
Bước 6: Response xác nhận"
"http://localhost:8000/api/return_muon","📖 Quản lý Mượn/Trả - Trả sách (người dùng)
Chức năng: Đánh dấu sách đã trả
Cập nhật: Tăng số lượng sách, cập nhật trạng thái","//Input
POST JSON: {
  ""id_sach"": ""S001""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Trả sách thành công""
  }","Bước 1: User chọn sách muốn trả
  Bước 2: Frontend gửi id_sach
  Bước 3: Backend tìm record trong MUON_TRA với id_sach và trang_thai != Đã trả
  Bước 4: Update trang_thai = Đã trả, ngay_tra = hôm nay
  Bước 5: Tăng so_luong sách lên 1 trong SACH.json
  Bước 6: Response xác nhận"
"http://localhost:8000/api/update-borrow-status","📖 Quản lý Mượn/Trả - Cập nhật trạng thái mượn
Chức năng: Thay đổi trạng thái phiếu mượn
Trạng thái: 'Đang mượn', 'Chờ xác nhận trả', 'Đã trả'","//Input
POST JSON: {
  ""ID_muon_tra"": ""MT001"",
  ""trang_thai"": ""Đang mượn/Chờ xác nhận trả/Đã trả""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Cập nhật trạng thái thành công""
}","Bước 1: Admin/Thủ thư thay đổi trạng thái phiếu mượn
Bước 2: Frontend gửi ID_muon_tra và trang_thai mới
Bước 3: Backend validate trang_thai (phải thuộc 3 giá trị cho phép)
Bước 4: Tìm và update record trong MUON_TRA.json
Bước 5: Response xác nhận"
"http://localhost:8000/api/approve-return","📖 Quản lý Mượn/Trả - Duyệt trả sách (Admin/Thủ thư)
Chức năng: Admin/thủ thư xác nhận việc trả sách
Cập nhật: Đặt trạng thái 'Đã trả', ghi ngày trả","//Input
POST JSON: {
  ""ID_muon_tra"": ""MT001""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Đã duyệt trả sách""
}","Bước 1: Thủ thư/Admin duyệt yêu cầu trả sách
Bước 2: Frontend gửi ID_muon_tra
Bước 3: Backend tìm record, update trang_thai = Đã trả, ngay_tra = hôm nay
Bước 4: Response xác nhận"
